Crop,Water Use (m³/kg),Irrigation Type,Climate,Yield (tons/ha),Water-Saving Practices,Water Pollution (Grey Water) (m³/kg),Soil Type,Water Scarcity,Post-Harvest Processing (Liters/kg),Fertilizer Use (kg/ha),Pesticide Use (kg/ha),Organic Practices,Green Water Use (m³/kg),Blue Water Use (m³/kg),Crop Cycle Duration (days),Harvest Season,Temperature Requirement (°C),Rainfall Requirement (mm/year),CO2 Emission (kg/ha),Land Use (ha/kg),Crop Rotation Practices,Average Farm Size (ha),Processing Water Recycling,Local Market,Export Market,Genetically Modified,Irrigation Efficiency (%),Seed Use (kg/ha),Labor Intensity
Squash,10048,None,Mediterranean,7.45,Mulching,823,Silty,Severe,92,278,23,Yes,4426,14012,162,Winter,17,883,1.368067560065406,1.5336654183247203,Yes,17.711364884354047,No,No,No,No,91,35,Low
Peppers,598,Sprinkler,Mediterranean,6.02,Mulching,197,Clayey,Moderate,181,271,11,No,4702,8128,157,Winter,38,570,5.473931300082038,2.586534872161407,Yes,4.342074726873559,Yes,No,Yes,Yes,53,99,Low
Pineapples,9584,Flood,Continental,1.56,Crop Cover,638,Silty,Moderate,130,218,11,Yes,530,7008,132,Summer,12,1119,6.676147963579075,0.4984959073574522,No,4.433988628222004,Yes,Yes,Yes,No,89,93,Medium
Broccoli,19932,Flood,Arid,9.76,Mulching,381,Clayey,High,24,300,19,Yes,3673,9444,272,Autumn,23,1896,3.315346129809023,3.8628722039505123,Yes,6.557524969018915,Yes,No,Yes,Yes,62,54,Low
Maize,9449,Flood,Continental,1.08,None,551,Loamy,Moderate,191,106,69,No,381,2005,201,Summer,18,1424,5.656022890696314,3.058105593454123,Yes,17.77767092624808,Yes,Yes,Yes,Yes,61,92,High
Lettuce,11629,Sprinkler,Temperate,6.77,Mulching,908,Sandy,Severe,107,64,47,Yes,1307,2755,257,Autumn,20,549,2.2943161997024495,1.711586390606885,Yes,3.291997433888725,Yes,No,Yes,Yes,68,56,Low
Squash,3669,Flood,Mediterranean,4.63,Efficient Irrigation,623,Sandy,Low,187,79,81,No,1902,14046,88,Winter,34,1516,2.285464441142648,2.814820548248813,Yes,3.1210509110007347,No,No,Yes,Yes,85,26,Low
Potatoes,12752,Flood,Semi-arid,2.01,Mulching,785,Silty,Moderate,150,288,74,Yes,1317,3180,123,Spring,35,796,7.159835819407201,0.36812512104183925,No,2.8973096168526253,No,Yes,Yes,Yes,64,80,Medium
Peppers,11003,Flood,Tropical,8.15,None,709,Clayey,Moderate,163,102,90,No,697,5194,114,Autumn,13,715,2.9123564687342864,3.2334028433857203,Yes,1.2587018711829066,Yes,No,No,No,56,20,High
Zucchini,11666,None,Continental,2.92,None,164,Sandy,Severe,67,160,54,Yes,3497,12448,94,Spring,18,432,4.7229522761182015,2.041299778127435,No,8.694671549775528,Yes,No,No,Yes,78,61,Low
Oranges,14703,Drip,Semi-arid,2.89,Efficient Irrigation,106,Clayey,Low,77,171,72,Yes,4499,2824,93,Autumn,17,792,3.606114041992255,4.218920700309052,No,5.485197551847397,Yes,No,Yes,No,76,55,Low
Pumpkins,10121,None,Mediterranean,6.4,None,601,Clayey,High,156,90,56,Yes,2659,6855,337,Winter,25,1018,8.407075160861874,0.47290894774196157,Yes,15.941809235375889,Yes,No,No,No,78,48,Medium
Onions,16423,None,Mediterranean,2.39,Efficient Irrigation,445,Loamy,Moderate,96,188,62,No,1062,10991,104,Winter,21,1480,5.675326474864628,4.339724395827413,No,4.0826918354171795,Yes,No,Yes,No,66,74,Medium
Lettuce,11888,Flood,Temperate,4.03,Crop Cover,581,Silty,Severe,47,134,67,Yes,491,14524,219,Winter,37,916,5.502956721957672,2.5130511074450554,No,1.2190915770569224,Yes,Yes,No,No,76,80,Low
Pumpkins,8021,Drip,Continental,2.51,Mulching,865,Silty,High,123,82,54,Yes,4229,711,320,Winter,23,761,1.6301671685576151,0.5009588323637454,No,4.605792591179865,Yes,No,No,Yes,56,90,High
Peaches,10356,Drip,Semi-arid,6.41,Mulching,671,Loamy,High,31,237,24,Yes,2819,7011,103,Autumn,26,918,7.106005918535772,3.347265830407035,No,1.2444398573800712,No,Yes,No,Yes,85,24,Medium
Rice,1077,Drip,Mediterranean,9.22,Mulching,755,Sandy,Low,112,117,72,No,2896,11058,236,Spring,25,471,8.325441902860081,0.7694013604044595,No,11.766165553229069,Yes,No,Yes,No,58,43,Medium
Wheat,13177,Drip,Temperate,4.52,Crop Cover,184,Silty,Low,84,141,52,No,736,4031,87,Spring,26,1784,1.4704665431144117,3.657094075188294,Yes,11.81018890027445,Yes,No,Yes,No,57,72,Low
Cotton,9762,Drip,Temperate,3.44,Mulching,811,Sandy,High,61,243,44,No,3643,3728,231,Spring,21,324,4.788243042070543,4.790464972883768,No,14.687467890842186,No,No,No,Yes,57,28,High
Beans,5720,Drip,Semi-arid,1.1,Mulching,991,Silty,Severe,64,270,77,Yes,4281,8348,344,Spring,28,773,1.9471366921709812,1.728596862005766,No,10.663730422543376,Yes,Yes,No,No,89,66,High
Carrots,8529,None,Tropical,7.25,None,852,Sandy,Moderate,195,298,75,No,2138,5802,174,Summer,19,242,2.8256728968423808,1.880957588287973,No,9.126947411708228,No,Yes,No,Yes,82,75,High
Beans,4340,Sprinkler,Mediterranean,3.3,Efficient Irrigation,420,Silty,Low,121,111,21,Yes,1294,14228,117,Winter,28,1091,8.625056540438166,0.8325645057749803,No,12.96061171291523,No,Yes,No,No,72,51,Low
Rice,2257,Flood,Arid,3.02,Mulching,953,Loamy,High,114,75,59,No,1541,2062,161,Spring,34,1393,3.3558851202558806,2.029849693471021,No,9.553109351140018,Yes,Yes,Yes,Yes,58,28,Medium
Cucumbers,18528,Drip,Tropical,5.91,None,877,Loamy,High,87,287,53,Yes,1427,12178,203,Spring,26,299,4.82569792313344,2.136817895276378,Yes,19.548357741944724,Yes,No,No,Yes,87,28,High
Peppers,18835,None,Semi-arid,2.33,Efficient Irrigation,714,Silty,Severe,138,109,49,Yes,4300,644,239,Spring,31,979,2.515591707384167,4.901411616122253,Yes,10.287831451792806,No,No,No,No,61,76,Medium
Corn,1655,None,Temperate,9.58,Crop Cover,437,Clayey,Low,125,75,92,Yes,3425,6946,242,Autumn,10,1965,7.53065534371566,0.4520252679867328,No,7.618235295087684,Yes,No,No,No,59,84,Low
Wheat,18942,Flood,Temperate,7.78,None,601,Loamy,Low,106,120,83,Yes,1063,602,209,Summer,35,1582,8.3975564552672,0.7689256342400697,Yes,10.44930286241709,No,Yes,Yes,No,83,74,Medium
Pears,10203,Flood,Tropical,5.14,Crop Cover,472,Loamy,High,115,216,29,Yes,390,14786,364,Summer,10,487,7.589350380335113,0.4946526902612115,No,2.48883642740699,No,Yes,Yes,No,60,83,Medium
Garlic,6462,Flood,Semi-arid,9.12,Crop Cover,754,Silty,High,87,267,35,No,1493,2255,149,Summer,23,719,1.5962195747506214,4.437264019386056,Yes,5.562843916941079,Yes,No,No,Yes,60,53,High
Avocados,8604,Flood,Continental,2.26,Crop Cover,133,Silty,Severe,26,151,51,Yes,1405,253,245,Summer,10,954,6.883598474555107,3.4391250255447683,Yes,7.100383000130337,No,Yes,No,Yes,91,49,High
Peas,18898,Flood,Mediterranean,5.93,Efficient Irrigation,774,Sandy,Severe,157,272,98,Yes,1015,9451,91,Autumn,14,1998,7.195510475901427,3.8027899509068943,Yes,15.51842167920481,No,Yes,No,Yes,75,94,Medium
Strawberries,3837,Drip,Continental,7.44,None,747,Loamy,Severe,189,178,65,No,1034,12351,292,Spring,34,898,8.149213033119018,1.4446326243847845,Yes,19.894901447581553,No,Yes,Yes,Yes,56,38,High
Zucchini,5577,Drip,Semi-arid,1.06,Mulching,810,Loamy,High,114,224,19,Yes,1561,11378,67,Summer,14,819,7.219277528387879,3.7402579651049037,No,4.373676513340852,Yes,Yes,Yes,No,71,38,Medium
Cotton,17339,Sprinkler,Tropical,4.86,Crop Cover,745,Silty,High,126,75,35,Yes,3938,8104,208,Winter,13,464,9.634635565426569,0.8688285014916544,No,2.8677964789146406,No,No,No,Yes,87,81,Medium
Peaches,19137,None,Arid,7.27,Mulching,426,Clayey,Severe,111,243,65,Yes,1518,3259,299,Winter,31,1325,7.0478446666553936,2.7176153680343034,Yes,3.57235308243611,Yes,Yes,No,Yes,59,95,High
Broccoli,1328,Sprinkler,Mediterranean,1.13,Efficient Irrigation,885,Clayey,High,93,247,82,No,906,8417,173,Autumn,26,1933,1.8374915685919664,4.724329238937894,No,13.694023836824687,No,No,No,Yes,71,12,Low
Garlic,18228,Drip,Mediterranean,7.45,Efficient Irrigation,877,Loamy,Moderate,161,189,37,No,4910,14382,273,Winter,33,967,6.090688911680981,3.6322514906533905,No,7.723940215406677,No,Yes,No,No,73,96,Low
Cotton,1655,None,Tropical,8.54,Mulching,921,Clayey,Low,137,170,75,Yes,4606,5783,88,Winter,38,1881,1.5192184035215597,0.4102585299013549,No,9.400871313671772,No,No,No,No,71,61,Low
Oats,16645,Drip,Continental,9.95,None,151,Sandy,Severe,141,52,18,No,3945,8699,61,Winter,14,1349,4.267123341775168,4.668187112160098,No,15.54777767189673,Yes,Yes,No,No,53,63,Medium
Mangoes,745,Sprinkler,Temperate,1.98,Mulching,608,Sandy,Low,34,204,43,Yes,1508,12785,147,Autumn,32,557,5.718723472536594,0.24594038193623313,No,7.014874736490718,Yes,Yes,No,No,58,66,Low
Cotton,3569,Flood,Arid,1.58,Efficient Irrigation,268,Clayey,High,121,67,24,Yes,4826,3884,201,Spring,28,1318,2.4333245127137344,4.21002122754503,Yes,10.59377274740243,Yes,Yes,No,Yes,64,89,High
Maize,10758,Drip,Arid,5.35,None,996,Loamy,Severe,115,56,20,No,2363,2089,299,Spring,30,1635,7.588012708091496,0.20394264897855097,Yes,14.991565184987845,No,Yes,Yes,Yes,79,83,Medium
Cucumbers,18500,Drip,Semi-arid,5.56,Mulching,846,Clayey,Severe,186,178,49,No,1598,897,63,Spring,38,502,6.939478575507519,1.8232528190267887,Yes,1.083901123966013,Yes,Yes,Yes,No,81,20,Medium
Apples,14614,None,Temperate,5.82,Efficient Irrigation,139,Clayey,High,25,218,87,No,2907,1678,189,Autumn,17,614,4.2977117948636625,3.481696950226869,No,16.423731788386313,No,No,Yes,Yes,87,67,High
Spinach,15696,Flood,Continental,8.82,None,302,Loamy,Severe,103,269,57,Yes,990,8995,131,Spring,12,1433,3.384794567706603,1.2403605593156841,No,12.049389206126145,No,No,No,Yes,59,62,High
Cherries,12722,Flood,Tropical,1.31,None,225,Silty,Severe,88,72,33,Yes,705,6999,112,Winter,14,1130,6.005261715172026,2.9269480387960685,No,14.629279873801565,Yes,No,Yes,Yes,69,11,High
Bananas,12336,Drip,Tropical,1.0,Efficient Irrigation,398,Clayey,Moderate,158,137,35,Yes,3798,5664,120,Autumn,15,1761,8.616801079963,2.687098452218001,No,5.465839903136336,No,No,Yes,No,51,40,Low
Garlic,8054,Drip,Mediterranean,6.9,Efficient Irrigation,689,Silty,Moderate,31,153,94,Yes,1476,12129,179,Autumn,28,621,3.787104171077652,0.12039910987899664,Yes,2.8826169186816037,No,Yes,Yes,No,58,58,High
Blueberries,5771,Flood,Continental,3.11,Efficient Irrigation,927,Clayey,High,37,272,100,No,723,13002,224,Spring,29,1227,5.734404411157062,2.719177038858285,Yes,13.176443799608593,No,Yes,Yes,No,94,13,Low
Plums,8510,Sprinkler,Semi-arid,2.33,Crop Cover,918,Clayey,Severe,81,129,60,No,3691,9651,264,Summer,11,1883,1.2152208162228493,0.49378262492846514,Yes,18.16136134201556,No,No,No,No,85,58,Medium
Lettuce,7819,Sprinkler,Arid,2.07,Efficient Irrigation,973,Silty,Severe,11,57,25,No,3822,5861,61,Autumn,18,1912,3.6932673282944073,1.3072819777832951,Yes,10.41643694465527,No,Yes,Yes,Yes,56,81,High
Cotton,2843,Drip,Arid,8.2,Efficient Irrigation,121,Loamy,Moderate,21,268,16,Yes,4971,11465,128,Summer,19,1257,8.721590876005159,4.3550107599831005,No,7.753615373740345,Yes,Yes,No,Yes,55,44,High
Rice,16848,Sprinkler,Temperate,9.37,Efficient Irrigation,471,Sandy,Low,15,215,65,Yes,3703,1980,327,Summer,13,534,9.533433343251312,3.5071559299138904,Yes,6.38528529512108,No,Yes,Yes,No,81,59,Low
Pumpkins,18097,Drip,Mediterranean,1.72,Mulching,438,Silty,Low,84,176,29,No,4210,14978,173,Summer,15,1015,4.433044915803559,1.9842812507197722,Yes,9.943407619253774,Yes,Yes,Yes,No,88,80,Low
Spinach,10231,None,Arid,1.26,None,111,Silty,High,121,275,24,Yes,1785,2310,217,Summer,16,662,8.444985220412923,0.8457173662319231,Yes,9.503198324981318,No,No,Yes,Yes,67,62,Low
Peppers,19238,None,Arid,9.31,Mulching,145,Sandy,Moderate,60,286,52,No,2429,2888,327,Autumn,15,1938,2.8677387106647703,2.2328222500938204,Yes,11.542724415009857,No,No,Yes,Yes,62,30,High
Melons,6783,Flood,Semi-arid,3.88,None,559,Clayey,Low,60,196,61,Yes,2105,4756,173,Spring,40,1392,3.877348712031778,3.085839500522452,No,6.438712238242523,No,No,Yes,Yes,53,92,Medium
Lettuce,13697,Flood,Mediterranean,2.92,Efficient Irrigation,641,Sandy,Low,35,244,45,Yes,1397,12399,304,Autumn,35,1040,3.651741934279489,1.750458657507423,No,8.014289703627046,Yes,Yes,Yes,No,71,60,Medium
Rice,16741,None,Semi-arid,9.4,Efficient Irrigation,143,Silty,High,102,278,40,No,1349,505,334,Summer,25,953,4.115630625524636,1.0973115890813114,Yes,4.324623648648634,Yes,Yes,Yes,No,72,67,Low
Pineapples,16400,Flood,Tropical,4.89,Crop Cover,892,Clayey,Low,152,117,100,No,2374,8882,224,Spring,29,1277,5.540822010792143,3.1871037512752953,No,5.429635499820684,No,Yes,Yes,No,91,44,Low
Peppers,3210,Sprinkler,Mediterranean,7.56,Efficient Irrigation,302,Silty,Moderate,44,128,59,Yes,407,13621,184,Summer,34,1153,4.670762601629549,0.1218374111305205,Yes,2.245471876560174,Yes,Yes,No,Yes,77,50,Medium
Bananas,6450,Sprinkler,Arid,6.25,Mulching,474,Loamy,Low,163,83,17,No,3256,4061,175,Spring,24,1555,5.862865894219942,3.8926743462711046,Yes,15.639922698815877,No,Yes,Yes,No,62,90,High
Melons,9325,None,Tropical,9.19,Mulching,435,Silty,Low,161,154,52,Yes,4309,11895,248,Summer,38,1579,5.967244951289092,1.203008299228686,No,10.108221080408775,Yes,No,No,No,60,92,High
Peaches,2486,None,Tropical,9.71,None,475,Sandy,Severe,39,238,41,Yes,3829,14523,176,Autumn,10,1648,8.096234739641357,4.415997259258359,No,12.059631251707145,No,No,No,No,87,78,High
Strawberries,2080,Flood,Temperate,9.02,Crop Cover,380,Silty,Low,149,212,13,Yes,3789,10212,111,Spring,10,471,3.1028471172245777,4.706514544408056,Yes,15.037815094013807,Yes,Yes,Yes,Yes,94,23,Medium
Bananas,17092,Sprinkler,Tropical,5.6,Crop Cover,274,Sandy,Moderate,200,267,25,No,3807,8447,355,Autumn,31,1740,6.446294774989122,2.8029030760386093,Yes,12.24291467479174,Yes,No,No,Yes,66,50,High
Beans,15415,None,Arid,4.64,Crop Cover,999,Sandy,Moderate,112,191,24,No,3531,12664,165,Spring,11,986,5.986128811959359,0.829441832817455,No,6.706463387117331,No,No,Yes,Yes,81,66,Medium
Bananas,13835,Sprinkler,Continental,3.94,None,848,Sandy,Severe,82,177,94,Yes,3683,7772,76,Winter,25,355,3.001589837647473,4.181440814938885,No,7.127421869351691,Yes,Yes,Yes,No,83,18,High
Peppers,5235,Sprinkler,Mediterranean,2.48,Crop Cover,653,Sandy,High,169,71,74,Yes,4410,10096,61,Summer,19,1674,5.887705353368946,4.28369581864955,Yes,1.9115222676581196,No,Yes,No,Yes,52,62,Medium
Peas,14079,Drip,Mediterranean,1.52,Efficient Irrigation,333,Silty,High,164,286,86,No,3057,14652,350,Spring,37,771,7.6235788163985445,2.556088616893442,Yes,16.763222151901374,No,No,No,No,70,54,Medium
Lettuce,11416,Sprinkler,Semi-arid,4.77,Crop Cover,281,Sandy,Severe,192,52,21,Yes,696,10097,161,Summer,21,1874,2.8415550858096017,1.3594224835436381,No,19.131573938394236,No,No,Yes,No,75,14,High
Grapes,3267,Sprinkler,Temperate,2.18,None,358,Sandy,Severe,157,116,71,Yes,3962,5508,335,Winter,35,1603,8.040287512095071,4.804241014511503,No,6.497846155922116,No,No,No,Yes,50,78,Low
Tomatoes,2551,None,Semi-arid,3.91,Mulching,693,Clayey,Severe,160,297,56,Yes,1794,2580,209,Summer,23,320,3.281315468543524,4.739557335893339,Yes,3.0438966816480013,Yes,Yes,No,No,53,67,Medium
Cucumbers,14908,Drip,Tropical,8.06,None,256,Clayey,Moderate,119,234,66,No,2181,12945,237,Winter,27,1929,5.646726677718452,4.13088507269418,Yes,2.624628951899746,No,No,No,No,86,73,Low
Potatoes,18035,Drip,Semi-arid,2.75,Efficient Irrigation,942,Clayey,Moderate,171,223,14,No,4734,5655,124,Summer,15,1558,2.8252679613711447,1.2660464343393958,No,2.212669414240462,Yes,No,No,Yes,83,41,Medium
Tomatoes,17308,Flood,Arid,9.16,None,251,Silty,Severe,34,261,47,No,3836,13424,152,Winter,30,1891,1.8749376328901883,0.1173204722922359,No,8.819504135982807,Yes,Yes,Yes,Yes,62,78,Medium
Maize,10417,Drip,Temperate,7.65,None,173,Clayey,Low,118,77,95,Yes,3230,3178,187,Winter,16,708,3.094949042158905,2.065876817131386,Yes,2.6797454059642303,Yes,Yes,No,Yes,77,19,High
Zucchini,5270,None,Semi-arid,3.14,None,239,Sandy,Severe,34,262,77,No,4824,9662,317,Winter,20,1035,6.794034257772162,0.8095407724298098,No,2.9325113468334516,No,Yes,No,Yes,77,15,Medium
Squash,4614,Drip,Temperate,2.32,Mulching,139,Sandy,Moderate,195,204,91,No,659,5565,297,Autumn,36,898,4.940671234032374,4.453118770513031,No,12.28889297779499,No,Yes,No,No,93,41,Medium
Barley,4292,Drip,Arid,9.68,Crop Cover,855,Silty,Severe,14,222,55,No,4712,1548,266,Spring,25,1849,9.245109059498194,3.037122014546341,No,1.736716484539267,Yes,Yes,No,No,69,75,High
Broccoli,1303,Sprinkler,Semi-arid,3.53,Crop Cover,656,Silty,Severe,177,179,69,No,1723,10959,179,Spring,26,229,2.391427016387246,4.224261407627973,No,9.193981876444656,No,No,Yes,Yes,71,41,High
Cotton,4023,Drip,Mediterranean,1.09,Mulching,789,Loamy,High,198,276,14,Yes,321,5091,333,Summer,36,1241,5.025729125272669,2.621781789693975,Yes,1.4880887145693418,Yes,Yes,No,Yes,51,43,Low
Wheat,17351,Drip,Arid,8.16,Crop Cover,620,Silty,Moderate,108,82,10,No,3030,8813,235,Spring,11,1848,3.5008461532232813,1.0415637311898744,Yes,7.462645780225526,No,Yes,Yes,Yes,89,10,Low
Spinach,1370,Flood,Tropical,5.28,Crop Cover,559,Loamy,Severe,91,226,24,Yes,4434,1197,134,Summer,39,328,5.197204983159839,2.1230766201967937,Yes,17.869299903613953,Yes,Yes,No,No,65,36,High
Bananas,17573,None,Mediterranean,6.75,Efficient Irrigation,589,Silty,Severe,52,295,69,No,3233,7835,291,Spring,27,1871,6.2791229897093075,0.6727372087449185,Yes,10.42606630960952,Yes,No,No,No,76,79,Low
Pumpkins,19754,None,Tropical,6.04,Efficient Irrigation,108,Clayey,Low,160,208,20,Yes,826,10997,327,Spring,18,1409,3.8929413468518903,0.8038072554457414,Yes,14.108354921221489,No,Yes,Yes,No,55,57,Low
Garlic,18506,None,Temperate,8.48,None,200,Silty,Moderate,102,101,94,No,1138,9516,62,Winter,38,1623,1.84976660081883,3.983459996634567,No,1.4039454669559948,No,No,Yes,No,50,86,Medium
Melons,5637,Drip,Mediterranean,3.05,Efficient Irrigation,286,Clayey,Low,33,106,36,Yes,4209,7616,222,Winter,38,1116,5.131871952562215,4.398794635416804,No,8.189368832428485,Yes,No,Yes,No,53,42,Medium
Garlic,4393,Flood,Temperate,2.06,None,547,Clayey,High,108,236,20,Yes,1571,9746,277,Summer,17,1350,8.274722534915036,1.3548380218661311,No,9.647684100931373,No,No,No,No,78,97,High
Pumpkins,6530,Drip,Temperate,4.9,None,214,Clayey,High,110,59,62,No,2120,6951,64,Autumn,40,1774,1.5832969213102244,4.2189362673111,No,9.999630738793481,No,Yes,Yes,Yes,76,49,Low
Melons,17927,Flood,Semi-arid,5.41,None,772,Loamy,Low,143,213,51,Yes,3687,14705,156,Summer,31,1031,1.3026196375675592,1.6224480393569511,Yes,5.154673666439651,No,Yes,No,Yes,71,56,Medium
Pineapples,12648,Flood,Arid,7.44,Crop Cover,631,Silty,Severe,178,189,15,Yes,4737,9228,76,Summer,27,1228,6.971410029518149,2.9249182770656064,Yes,16.86704176386533,No,Yes,Yes,No,54,17,Low
Corn,17399,None,Continental,7.13,Efficient Irrigation,372,Loamy,High,197,242,37,No,2187,9148,98,Winter,19,1617,2.6693790232595296,0.6020418791553271,No,6.39311042159196,Yes,No,Yes,No,82,24,Low
Cucumbers,12651,None,Tropical,5.45,Mulching,733,Clayey,Severe,148,135,88,Yes,3183,9983,264,Autumn,37,1922,8.07980195248574,3.2462793113489696,No,11.465965946842319,No,Yes,No,Yes,79,100,Medium
Plums,11701,Sprinkler,Continental,9.16,Crop Cover,895,Sandy,Moderate,76,133,90,No,3927,9795,365,Winter,39,433,2.1040302874951893,0.4146812212284249,No,6.041704740402121,No,Yes,No,No,57,83,Medium
Strawberries,3039,Sprinkler,Continental,2.13,Crop Cover,453,Clayey,Low,171,98,61,Yes,770,2142,282,Spring,26,752,7.545602322784996,4.236672852331249,Yes,16.70862651409416,Yes,No,Yes,Yes,88,90,Low
Quinoa,12569,Drip,Semi-arid,4.36,Crop Cover,989,Silty,Severe,118,101,25,Yes,648,2613,195,Spring,31,1729,1.3589093982507139,0.4857317273951056,Yes,18.59496407884244,Yes,Yes,No,No,59,66,High
Lettuce,17999,Flood,Temperate,7.17,Crop Cover,952,Loamy,Low,122,210,39,Yes,3352,14471,146,Summer,39,1794,5.346151955885098,1.4755872728207557,No,5.594616140564032,No,No,Yes,Yes,55,71,Low
Beans,8582,Sprinkler,Continental,9.2,Crop Cover,140,Sandy,High,16,177,57,No,2420,9506,198,Summer,30,1258,8.025171389669744,3.113949448126541,Yes,6.088214501280738,Yes,Yes,Yes,No,85,35,Medium
